        train_loss      train_acc       valid_loss      valid_acc
13900:    0.39            0.8683                  1.17            0.6763
14000:    0.38            0.8690                  1.18            0.6764
14100:    0.38            0.8697                  1.18            0.6764
14200:    0.38            0.8704                  1.18            0.6764
14300:    0.38            0.8710                  1.18            0.6765
14400:    0.38            0.8717                  1.19            0.6766
14500:    0.37            0.8723                  1.19            0.6766
14600:    0.37            0.8730                  1.19            0.6767
14700:    0.37            0.8736                  1.19            0.6767
14800:    0.37            0.8743                  1.20            0.6767
14900:    0.37            0.8749                  1.20            0.6766
15000:    0.37            0.8755                  1.20            0.6766
15100:    0.36            0.8761                  1.20            0.6766
15200:    0.36            0.8767                  1.20            0.6767
15300:    0.36            0.8773                  1.21            0.6768
15400:    0.36            0.8780                  1.21            0.6770
15500:    0.36            0.8786                  1.21            0.6771
15600:    0.36            0.8792                  1.21            0.6771
15700:    0.35            0.8797                  1.21            0.6771
15800:    0.35            0.8802                  1.22            0.6771
15900:    0.35            0.8808                  1.22            0.6771
16000:    0.35            0.8814                  1.22            0.6771
16100:    0.35            0.8820                  1.22            0.6771
16200:    0.35            0.8825                  1.23            0.6771
16300:    0.34            0.8831                  1.23            0.6771
16400:    0.34            0.8836                  1.23            0.6770
16500:    0.34            0.8841                  1.23            0.6770
16600:    0.34            0.8845                  1.23            0.6771
16700:    0.34            0.8850                  1.23            0.6773
16800:    0.34            0.8855                  1.24            0.6773
16900:    0.34            0.8860                  1.24            0.6774
17000:    0.33            0.8866                  1.24            0.6774
17100:    0.33            0.8871                  1.24            0.6774
17200:    0.33            0.8875                  1.24            0.6774
17300:    0.33            0.8880                  1.24            0.6776
